receipt_id,company_id,matched_transaction_id,feature_transaction_id,DateMappingMatch,AmountMappingMatch,DescriptionMatch,DifferentPredictedTime,TimeMappingMatch,PredictedNameMatch,ShortNameMatch,DifferentPredictedDate,PredictedAmountMatch,PredictedTimeCloseMatch,is_match
"10,001",10000,"10,605","10,596",0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,001",10000,"10,605","10,597",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,001",10000,"10,605","10,598",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,001",10000,"10,605","10,599",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,001",10000,"10,605","10,600",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,001",10000,"10,605","10,605",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"10,001",10000,"10,605","10,606",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,286",0.95,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1
"10,002",10000,"10,286","10,287",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,288",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,289",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,290",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,291",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,002",10000,"10,286","10,292",0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,003",10000,"10,412","10,140",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,003",10000,"10,412","10,141",0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,003",10000,"10,412","10,410",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,003",10000,"10,412","10,411",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
"10,003",10000,"10,412","10,412",0.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"10,003",10000,"10,412","10,413",0.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
"10,003",10000,"10,412","10,414",0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,003",10000,"10,412","10,415",0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,461",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,462",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,465",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,466",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,467",0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,468",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,005",10000,"10,474","10,469",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,470",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,471",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,472",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,473",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,474",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"10,005",10000,"10,474","10,477",0.9,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,478",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,005",10000,"10,474","10,479",0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"10,007",10000,"10,360","10,348",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,349",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,350",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,351",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,356",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,357",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,358",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"10,007",10000,"10,360","10,359",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
